transaction_id;product_id;customer_id;transaction_date;online_order;order_status;brand;product_line;product_class;product_size;list_price in $;standard_cost in $;product_first_sold_date
140;11;462;2017/01/01;FALSE;Approved;Giant Bicycles;Standard;High;Medium;1274,93;764,96;2016/07/09
517;77;311;2017/01/01;TRUE;Approved;WeareA2B;Standard;Medium;Medium;1769,64;108,76;2011/05/09
561;65;2298;2017/01/01;FALSE;Approved;WeareA2B;Standard;Medium;Medium;1807,45;778,69;2010/08/20
1293;67;1931;2017/01/01;TRUE;Approved;Norco Bicycles;Road;Medium;Medium;544,05;376,84;2005/10/22
1403;0;2891;2017/01/01;TRUE;Approved;OHM Cycles;Standard;Medium;Medium;183,86;137,9;1993/07/20
2008;38;722;2017/01/01;TRUE;Approved;Solex;Standard;Medium;Medium;1577,53;826,51;2001/11/25
2276;22;2843;2017/01/01;FALSE;Approved;WeareA2B;Standard;Medium;Medium;60,34;45,26;2016/02/04
2771;51;3470;2017/01/01;FALSE;Approved;OHM Cycles;Standard;High;Medium;2005,66;1203,4;2007/12/11
3318;24;2418;2017/01/01;TRUE;Approved;Solex;Road;Medium;Large;1777,8;820,78;1999/06/23
3460;64;234;2017/01/01;TRUE;Approved;Giant Bicycles;Standard;High;Small;1977,36;1759,85;2011/08/24
3518;58;523;2017/01/01;TRUE;Approved;OHM Cycles;Standard;Medium;Medium;912,52;141,4;2015/05/21
3525;50;3490;2017/01/01;TRUE;Approved;Giant Bicycles;Standard;Medium;Medium;642,7;211,37;2002/03/22
4239;12;51;2017/01/01;FALSE;Approved;WeareA2B;Standard;Medium;Medium;1231,15;161,6;2004/08/17
5323;11;3010;2017/01/01;FALSE;Cancelled;Giant Bicycles;Standard;High;Medium;1274,93;764,96;2007/08/04
5351;53;769;2017/01/01;TRUE;Approved;OHM Cycles;Standard;Medium;Medium;795,34;101,58;2005/10/22
5877;67;138;2017/01/01;FALSE;Approved;Norco Bicycles;Road;Medium;Medium;544,05;376,84;2005/10/22
6459;50;1745;2017/01/01;FALSE;Approved;WeareA2B;Standard;Medium;Small;175,89;131,92;2003/02/16
7623;46;3053;2017/01/01;FALSE;Approved;OHM Cycles;Standard;Low;Medium;1793,43;248,82;1999/07/20
8252;27;366;2017/01/01;FALSE;Approved;Trek Bicycles;Standard;Low;Medium;1057,51;154,4;1994/07/12
8479;50;1099;2017/01/01;TRUE;Approved;WeareA2B;Standard;Medium;Small;175,89;131,92;1991/01/21
8543;17;1935;2017/01/01;TRUE;Approved;Solex;Standard;High;Medium;1024,66;614,8;1996/11/09
8886;58;1691;2017/01/01;TRUE;Approved;OHM Cycles;Road;Medium;Medium;1280,28;829,51;2009/04/12
9303;28;3073;2017/01/01;FALSE;Approved;Norco Bicycles;Standard;Medium;Small;1216,14;1082,36;1991/08/05
9363;62;871;2017/01/01;FALSE;Approved;Solex;Standard;Medium;Medium;478,16;298,72;1992/10/02
9648;92;3056;2017/01/01;FALSE;Approved;WeareA2B;Standard;Medium;Small;1415,01;1259,36;2003/01/05
9986;85;3389;2017/01/01;TRUE;Approved;WeareA2B;Standard;Medium;Medium;752,64;205,36;2015/08/02
10003;85;467;2017/01/01;TRUE;Approved;WeareA2B;Standard;Medium;Medium;752,64;205,36;2015/08/02
11030;32;2488;2017/01/01;TRUE;Approved;Giant Bicycles;Standard;Medium;Medium;642,7;211,37;2010/06/07
11282;74;3166;2017/01/01;FALSE;Approved;WeareA2B;Standard;Medium;Medium;1228,07;400,91;2000/05/22
11314;4;2068;2017/01/01;TRUE;Approved;Solex;Standard;Medium;Medium;1483,2;99,59;1998/12/17
11468;27;2686;2017/01/01;FALSE;Approved;Trek Bicycles;Standard;Medium;Medium;499,53;388,72;1999/06/23
11676;96;1229;2017/01/01;FALSE;Approved;WeareA2B;Road;Low;Small;1172,78;1043,77;1991/05/06
11996;59;1349;2017/01/01;TRUE;Approved;Solex;Standard;Medium;Large;1061,56;733,58;1993/07/20
12422;78;2552;2017/01/01;FALSE;Approved;Giant Bicycles;Standard;Medium;Large;1765,3;709,48;2013/09/16
